"date","close","volume","open","high","low"
"2014/10/23","74.2300","1455269.0000","74.7500","74.9600","74.0950"
"2014/10/22","74.4400","1415695.0000","74.9000","75.5000","74.4200"
"2014/10/21","74.6600","1137457.0000","73.4400","74.6900","73.2600"
"2014/10/20","73.1100","1223534.0000","72.1400","73.2900","71.8900"
"2014/10/17","72.1800","1938109.0000","72.4700","72.6300","71.8000"
"2014/10/16","71.7800","1708694.0000","70.5100","72.2700","70.5100"
"2014/10/15","71.6000","2374758.0000","71.5000","72.5400","70.1750"
"2014/10/14","71.8900","2232978.0000","71.3000","72.1600","70.9600"
"2014/10/13","71.0200","2027577.0000","72.4000","72.6000","70.9200"
"2014/10/10","72.6500","1957788.0000","73.6400","73.7400","72.6100"
"2014/10/09","73.6100","1680197.0000","74.6200","74.9600","73.4500"
"2014/10/08","74.7400","1508667.0000","74.2500","74.8600","73.8300"
"2014/10/07","74.1400","1931313.0000","73.6800","75.1450","73.5900"
"2014/10/06","74.0500","1259053.0000","74.1600","74.3200","73.5600"
"2014/10/03","74.1100","1189265.0000","74.1200","74.5000","73.7400"
"2014/10/02","73.7000","2012549.0000","73.8800","74.2400","73.5700"
"2014/10/01","74.2500","2336313.0000","74.3800","74.5400","73.9800"
"2014/09/30","74.7200","1741438.0000","74.4300","75.0100","74.3200"
"2014/09/29","74.7100","1350589.0000","74.0500","74.7800","73.9700"
"2014/09/26","74.6000","938416.0000","74.1700","74.8500","73.9200"
"2014/09/25","74.0000","1201206.0000","74.8600","74.9500","74.0000"
"2014/09/24","75.1200","1131730.0000","74.6300","75.2700","74.5340"
"2014/09/23","74.4300","1593356.0000","74.9600","75.1900","74.3900"
"2014/09/22","75.2500","1261297.0000","75.5400","76.0700","74.9700"
"2014/09/19","75.4300","5482969.0000","75.3700","75.8600","75.2400"
"2014/09/18","74.9600","1153397.0000","74.8100","75.3000","74.7000"
"2014/09/17","74.6900","1098401.0000","74.7000","75.0500","74.3600"
"2014/09/16","74.7300","850210.0000","74.3000","75.2000","74.0600"
"2014/09/15","74.4300","1434374.0000","74.3900","74.7400","74.0600"
"2014/09/12","74.4800","1805028.0000","74.9000","75.3200","74.2600"
"2014/09/11","74.7400","1718718.0000","74.4700","74.8300","74.0600"
"2014/09/10","74.9000","1127734.0000","74.4400","75.0900","74.0300"
"2014/09/09","74.4100","1734932.0000","75.3700","75.3850","74.2090"
"2014/09/08","75.5900","1632336.0000","76.4500","76.4800","75.2500"
"2014/09/05","76.7800","1256454.0000","76.5900","76.9300","76.0400"
"2014/09/04","76.6500","1074862.0000","76.2500","77.0500","76.1200"
"2014/09/03","76.2300","1365616.0000","77.1300","77.2360","76.2150"
"2014/09/02","76.8400","1401540.0000","76.6800","76.8900","76.4600"
"2014/08/29","76.8300","1005640.0000","76.7200","77.0100","76.3700"
"2014/08/28","76.6600","731221.0000","76.6200","76.9700","76.5500"
"2014/08/27","77.0100","1050768.0000","77.2300","77.2500","76.6700"
"2014/08/26","77.2400","1295307.0000","77.1500","77.6600","77.0900"
"2014/08/25","77.1900","1177791.0000","76.7800","77.3900","76.7300"
"2014/08/22","76.2900","1329572.0000","76.3400","76.7900","76.2700"
"2014/08/21","76.2700","1714103.0000","76.5500","77.0700","76.2400"
"2014/08/20","76.5800","1250898.0000","76.2800","76.9900","76.2500"
"2014/08/19","76.6400","1699725.0000","76.6700","76.8000","76.0300"
"2014/08/18","76.7900","2042807.0000","76.8900","77.2500","76.5100"
"2014/08/15","76.1600","3086013.0000","75.4400","76.7000","74.5000"
"2014/08/14","75.9000","2268979.0000","75.3700","76.2700","75.1650"
"2014/08/13","75.1500","1184510.0000","75.5200","75.8350","74.9500"
"2014/08/12","75.3700","1183783.0000","75.2500","75.8800","74.9600"
"2014/08/11","75.5000","1388049.0000","74.5900","75.9100","74.5100"
"2014/08/08","74.2000","1909360.0000","73.2200","74.2400","72.8500"
"2014/08/07","73.2000","2203515.0000","74.6500","74.7400","73.0775"
"2014/08/06","74.2600","2353389.0000","73.9900","75.1697","73.7700"
"2014/08/05","73.9500","1165239.0000","74.1700","74.3400","73.6700"
"2014/08/04","74.2200","1055778.0000","74.2300","74.6850","73.7200"
"2014/08/01","73.8700","1808641.0000","73.4900","74.2700","72.8300"
"2014/07/31","73.4600","1997319.0000","74.0200","74.4000","73.2400"
"2014/07/30","74.2700","1872780.0000","74.4700","74.7100","73.6900"
"2014/07/29","74.3900","993998.0000","74.8800","75.4000","74.3600"
"2014/07/28","74.9300","1308581.0000","75.8000","75.8700","74.6400"
"2014/07/25","75.6700","957372.0000","75.6000","75.9600","75.3000"
"2014/07/24","75.9100","1112672.0000","76.0900","76.4100","75.6200"
"2014/07/23","75.9400","1607799.0000","76.2000","76.2400","75.5500"
"2014/07/22","76.2400","1893859.0000","75.7600","76.3600","75.2700"
"2014/07/21","75.4200","1211921.0000","75.5300","75.7100","74.9000"
"2014/07/18","76.0800","1740551.0000","74.6900","76.0800","74.3400"
"2014/07/17","74.4900","1169580.0000","75.2200","75.4400","74.4500"
"2014/07/16","75.1400","1564672.0000","75.8100","76.0500","75.0600"
"2014/07/15","75.7300","2427598.0000","75.3100","76.2300","75.2950"
"2014/07/14","75.3800","1574789.0000","75.0300","76.0000","75.0300"
"2014/07/11","74.5000","1179196.0000","74.6600","74.8400","74.2700"
"2014/07/10","74.6900","1414924.0000","74.0200","74.8600","74.0200"
"2014/07/09","74.6700","1390068.0000","74.2000","74.9100","74.0100"
"2014/07/08","74.0600","1546488.0000","74.5400","74.8300","73.7100"
"2014/07/07","74.8100","959734.0000","74.7500","74.8700","74.3600"
"2014/07/03","74.9700","1158296.0000","74.0900","75.2200","74.0900"
"2014/07/02","73.9600","1457030.0000","74.2400","74.3700","73.7100"
"2014/07/01","74.2300","2067359.0000","74.5400","74.5400","74.0500"
"2014/06/30","74.2600","1571150.0000","74.9500","75.4400","74.1700"
"2014/06/27","74.7100","1049979.0000","74.5700","74.9900","74.5000"
"2014/06/26","74.6000","1379623.0000","74.2600","74.7200","73.8200"
"2014/06/25","75.0000","1149712.0000","74.4400","75.0600","74.3100"
"2014/06/24","74.5200","801819.0000","74.8600","75.1900","74.5000"
"2014/06/23","74.8300","1547976.0000","75.7500","75.8200","74.5300"
"2014/06/20","75.7500","1986358.0000","76.5000","76.7100","75.3700"
"2014/06/19","76.5200","2030225.0000","76.0500","76.8300","75.2700"
"2014/06/18","76.1300","1211042.0000","75.3400","76.1600","75.1400"
"2014/06/17","75.2500","1576227.0000","75.9600","76.2200","75.0350"
"2014/06/16","75.9100","1120096.0000","76.4700","76.5650","75.7600"
"2014/06/13","76.4900","1881529.0000","76.6000","76.7600","75.7700"
"2014/06/12","76.7000","1671327.0000","76.7400","77.2300","76.3650"
"2014/06/11","76.5600","980344.0000","76.3900","76.6800","76.2200"
"2014/06/10","76.4200","993292.0000","76.4400","76.6700","76.0900"
"2014/06/09","76.5000","1125243.0000","76.6400","76.8000","76.3600"
"2014/06/06","76.7700","1010463.0000","76.9000","77.3400","76.6450"
"2014/06/05","76.6000","1126371.0000","76.4100","76.8100","76.1000"
"2014/06/04","76.4600","1822734.0000","76.4400","76.5300","75.8050"
"2014/06/03","76.6900","1529966.0000","76.7300","76.7300","76.0600"
"2014/06/02","76.7500","1263188.0000","76.6000","76.9950","76.3700"
"2014/05/30","76.6200","1235442.0000","76.1900","76.7400","76.1600"
"2014/05/29","76.5100","1968689.0000","76.1000","76.5200","75.8700"
"2014/05/28","75.6500","2325336.0000","75.3800","76.1900","75.3600"
"2014/05/27","75.5800","1429299.0000","74.9200","75.6500","74.8400"
"2014/05/23","74.9000","1149475.0000","74.8300","75.2000","74.6250"
"2014/05/22","74.9100","1748592.0000","74.0900","75.0600","74.0500"
"2014/05/21","74.1200","981069.0000","74.1100","74.3700","73.8100"
"2014/05/20","73.8800","1037518.0000","74.0300","74.3300","73.6800"
"2014/05/19","74.0200","1228968.0000","73.2300","74.1200","73.2000"
"2014/05/16","73.1600","1976037.0000","73.1700","73.5400","73.1100"
"2014/05/15","73.0700","1308111.0000","73.3500","73.4950","72.6500"
"2014/05/14","73.6800","1021199.0000","73.8500","74.1600","73.4900"
"2014/05/13","73.9300","1470173.0000","73.3200","73.9800","73.2000"
"2014/05/12","73.6300","1120812.0000","73.5000","73.7323","73.4100"
"2014/05/09","73.2400","1986118.0000","73.2700","73.5500","72.9700"
"2014/05/08","73.3200","1840756.0000","73.6900","73.9800","73.2800"
"2014/05/07","73.6900","2356150.0000","73.6400","73.9900","73.3300"
"2014/05/06","73.5500","2943405.0000","73.6800","73.7500","73.0500"
"2014/05/05","74.0600","3357341.0000","74.7500","75.1800","73.7200"
"2014/05/02","75.6200","7079442.0000","74.2900","76.2400","73.9700"
"2014/05/01","72.1900","2514043.0000","72.2100","72.4900","71.5000"
"2014/04/30","72.5700","1712437.0000","72.7000","72.9200","72.2100"
"2014/04/29","72.9300","2387125.0000","72.0800","72.9900","71.9100"
"2014/04/28","71.9000","2506320.0000","72.2800","72.7700","71.5000"
"2014/04/25","72.2000","1395330.0000","72.0200","72.2600","71.5800"
"2014/04/24","72.0900","1022167.0000","71.7600","72.1400","71.5000"
"2014/04/23","71.6700","1938088.0000","72.0000","72.1800","71.3800"
"2014/04/22","72.1000","1447761.0000","72.1700","72.4300","71.6900"
"2014/04/21","71.9000","1131632.0000","71.9000","71.9700","71.4100"
"2014/04/17","72.1500","3037151.0000","71.8900","72.2800","71.2300"
"2014/04/16","72.0900","2769575.0000","71.2000","72.1500","70.9600"
"2014/04/15","70.8000","2790799.0000","69.8300","70.8300","69.3000"
"2014/04/14","69.1800","1970226.0000","68.5200","69.2000","68.3600"
"2014/04/11","68.1800","2547114.0000","68.4100","68.9900","68.0650"
"2014/04/10","68.9200","1648532.0000","69.6000","70.2000","68.7800"
"2014/04/09","69.7100","2464120.0000","69.8700","69.9500","69.0150"
"2014/04/08","69.5300","4778937.0000","68.2500","70.2900","68.0000"
"2014/04/07","67.3000","6167900.0000","66.9700","67.5000","66.8600"
"2014/04/04","66.9800","2121966.0000","68.3700","68.5000","66.8200"
"2014/04/03","68.2100","4221097.0000","68.2700","68.6200","67.9500"
"2014/04/02","68.0900","1997651.0000","68.5200","68.7600","68.0000"
"2014/04/01","68.2600","4577972.0000","67.5200","68.2900","67.2200"
"2014/03/31","66.8800","2689249.0000","67.3400","67.3600","66.5400"
"2014/03/28","66.7300","2862470.0000","67.2600","67.4500","66.3700"
"2014/03/27","67.2300","2433303.0000","67.2300","67.9100","67.0000"
"2014/03/26","67.2300","3309799.0000","67.6000","67.7700","67.1900"
"2014/03/25","67.3700","2821795.0000","67.3900","67.7200","66.8400"
"2014/03/24","67.3000","2694215.0000","68.5700","68.8800","67.0900"
"2014/03/21","68.3700","3006835.0000","69.4600","69.6400","68.2800"
"2014/03/20","69.1200","1428843.0000","69.5400","69.5400","68.8400"
"2014/03/19","69.6900","1628484.0000","70.0200","70.2300","69.2100"
"2014/03/18","70.1200","1244870.0000","70.0300","70.6100","69.9700"
"2014/03/17","69.9500","1891866.0000","69.6900","70.4180","69.6500"
"2014/03/14","69.3000","2462344.0000","69.7500","69.8750","68.9200"
"2014/03/13","69.7800","2141427.0000","70.2600","70.4400","69.5800"
"2014/03/12","70.2000","1680565.0000","69.6200","70.3700","69.6000"
"2014/03/11","70.1100","2205842.0000","70.2000","70.4650","69.6800"
"2014/03/10","70.2000","1464364.0000","69.8000","70.2000","69.4400"
"2014/03/07","70.0200","1901194.0000","69.4100","70.2499","69.1500"
"2014/03/06","69.0400","1271871.0000","69.2900","69.5780","68.9850"
"2014/03/05","69.2700","3033867.0000","69.5300","69.6000","69.0000"
"2014/03/04","69.7300","1601308.0000","69.7000","70.6200","69.0900"
"2014/03/03","68.5600","1632810.0000","68.4600","68.7400","68.0600"
